3.4865512634871356
Time 	 Eb 	 Ea 	 Ep 	 phi_d 	 phi_z 	 KED 	 MLD 	 K 	 E_k 	 Eb_D 	 Ea_D 	 Ep_D 	 phi_d_D 	 phi_z_D 	 KED_D 	 K_D 	 Eb_U 	 Ea_U 	 Ep_U 	 phi_d_U 	 phi_z_U 	 KED_U 	 K_U 
0.0	0.0	29042292176.223663	29042292176.223663	7.602767916943998e-06	0.0	0.0	-8.240615015974441	0.03889575644689639	0.0	0.0	772047326.2178292	772047326.2178292	0.08782657480492682	0.0	0.0	123.56847571487548	0.0	1061573730.2990317	1061573730.2990317	0.06716267803398651	0.0	0.0	94.49163975625761
40.50000000000131	0.0	29042267042.162193	29042267042.162193	0.0004447893990458067	-617.1028376526252	5.9760733155498104e-09	-8.321285942492013	2.2623800241766623	79.41219856921342	0.0	772041686.5697291	772041686.5697291	0.02270760862220865	3356.429502431606	3.2096096581699535e-08	31.746149836517716	0.0	1061568274.7978923	1061568274.7978923	0.03056743055701556	-3378.49414398915	2.2131046710043966e-08	42.75416063000056
81.00000000000284	0.0	29042257771.713028	29042257771.713028	0.00036133781953590603	-632.7930142833717	2.0882530694635744e-08	-8.323282747603834	1.8376753513306905	320.35425601264274	0.0	772041501.0653415	772041501.0653415	0.02615803767375759	13087.230718250023	1.1540613759752048e-07	36.56493968303966	0.0	1061567778.2643782	1061567778.2643782	0.03500756539823059	-13157.62634065457	7.416773459567002e-08	48.957076423669555
121.50000000000438	0.0	29042250866.10028	29042250866.10028	0.0002833053205278925	-529.6123970385158	4.2832921871826404e-08	-8.328973642172524	1.438411166425987	695.6173286411563	0.0	772041812.6777831	772041812.6777831	0.021738582558314068	28646.10701709136	2.4228933882492064e-07	30.322437443540256	0.0	1061567008.2028296	1061567008.2028296	0.03341749605471106	-28751.006862793816	1.4524979422008542e-07	46.653202725418346
162.0000000000059	0.0	29042244639.989845	29042244639.989845	0.0002447588797755316	-423.4250378281222	6.830988153689246e-08	-8.328474440894569	1.2399637916993433	1146.8209059738274	0.0	772042668.7490485	772042668.7490485	0.015671883158779504	49217.52879783735	3.913897963615703e-07	21.805942093228314	0.0	1061565700.1538817	1061565700.1538817	0.027780693451165878	-49303.195382725455	2.2179916831528428e-07	38.69813997647271
202.50000000000745	0.0	29042238528.174706	29042238528.174706	0.00021591746999764355	-397.6923642820061	9.152583593686364e-08	-8.336661341853036	1.0914450200520023	1567.2563667254133	0.0	772044198.5381669	772044198.5381669	0.012384387301242809	73773.65323952404	5.266154515060512e-07	17.194233813059228	0.0	1061563727.4747996	1061563727.4747996	0.022035012818823384	-73743.99879416052	2.8400763319529345e-07	30.629691134857033
243.00000000000898	0.0	29042232329.68441	29042232329.68441	0.00019183422202388538	-444.9210706587804	1.1422143521657978e-07	-8.336461661341852	0.9677064514316772	1984.894866782146	0.0	772046521.6636777	772046521.6636777	0.010480718847884134	101158.85661508367	6.513946303615722e-07	14.520347944384614	0.0	1061561021.859997	1061561021.859997	0.01951502462457212	-100877.094901749	3.4133600995436937e-07	27.07537100984286
283.49999999988023	0.0	29042226034.21681	29042226034.21681	0.00017204843842445153	-526.6658252790896	1.3954312664506827e-07	-8.341453674121405	0.8662389028974531	2455.5037160027696	0.0	772049718.0339801	772049718.0339801	0.009141336926250274	130173.64662974131	7.78856753088115e-07	12.63999589738675	0.0	1061557547.483178	1061557547.483178	0.017937629015547463	-129471.1349357395	4.0797042711371325e-07	24.844352602411327
323.9999999996899	0.0	29042219686.34327	29042219686.34327	0.00015249191879434685	-616.4091407776059	1.6737998963597888e-07	-8.341253993610223	0.7664000700719515	2976.248206437117	0.0	772053834.4664669	772053834.4664669	0.007963508647147212	159657.45104960538	9.101817751935827e-07	10.9900608596349	0.0	1061553314.8289636	1061553314.8289636	0.01626821360723934	-158348.70831065404	4.832368713893516e-07	22.498080999741944
364.4999999994996	0.0	29042213329.313454	29042213329.313454	0.00013636558217949352	-702.7010319065233	1.9619119726171196e-07	-8.335962460063898	0.6841914083305598	3518.098883199319	0.0	772058882.1157347	772058882.1157347	0.006908415350875598	188561.24938166994	1.04049984113693e-06	9.51561495728987	0.0	1061548376.5950804	1061548376.5950804	0.014786693361149421	-186463.32509928118	5.609777322103907e-07	20.423109778905165
