3.1591920034934406
Time 	 Eb 	 Ea 	 Ep 	 phi_d 	 phi_z 	 KED 	 MLD 	 K 	 E_k 	 Eb_D 	 Ea_D 	 Ep_D 	 phi_d_D 	 phi_z_D 	 KED_D 	 K_D 	 Eb_U 	 Ea_U 	 Ep_U 	 phi_d_U 	 phi_z_U 	 KED_U 	 K_U 
944.9999999967719	29888207489.21257	1142800.6014882028	29889350289.814064	2.762711905174493e-05	-2401.9594548886193	2.8053172868141904e-06	-8.37410143769968	0.14019791309654	53333.98822695606	2072671777.6350722	15675.602345344143	2072687453.2374175	0.0003108503779201099	1056997.9853390718	7.665874209302784e-06	0.7117035029233392	2849669098.267594	6985.197158049792	2849676083.4647517	0.00012452620391533258	-1041654.0982762714	5.096028462367556e-06	0.28378809559633955
985.4999999965816	29888175108.68513	1133236.7259486616	29889308345.41108	2.5713093404839784e-05	-2229.2030390247583	2.7819071386535963e-06	-8.405151757188499	0.13044108851774644	52902.52105281168	2072667282.0376387	16007.058643499387	2072683289.0962822	0.0002610756849743085	1067336.464927863	7.616257467515855e-06	0.5977002152551013	2849659358.8820143	6961.798366169445	2849666320.6803803	0.00012779582742862008	-1044283.8962181328	5.0272724008886375e-06	0.2911272720348607
1025.999999996429	29888138081.604805	1128522.9298552275	29889266604.53466	2.5467713965019184e-05	-2111.431575259071	2.763265033186139e-06	-8.446385782747603	0.1291230040594083	52482.22939875235	2072662948.710073	16318.6521447096	2072679267.3622177	0.0003037566813607768	1067629.7479022304	7.602524306383308e-06	0.6954424498563848	2849648843.415763	7002.4375853426745	2849655845.8533483	0.00012331353752546956	-1044133.717114578	4.9566244457288496e-06	0.28080203923009944
1066.4999999970062	29888067455.696835	1156136.724170655	29889223592.421	2.4380889813756742e-05	-2337.564591528917	2.7261464353313843e-06	-8.475239616613418	0.12356574851897192	51855.36834452425	2072656746.5450478	16700.893559547607	2072673447.438607	0.00028087540570967303	1061808.563055953	7.461084861561838e-06	0.6428111667014669	2849637824.303184	7099.915612997486	2849644924.2187967	0.0001317884108436501	-1041821.8590528384	4.887110807586481e-06	0.29997291658362224
1106.9999999975832	29887979230.691315	1196912.374597013	29889176143.06591	2.502833207034142e-05	-2102.136220795641	2.7111388035152984e-06	-8.51707268370607	0.12682654653126432	51530.041694514235	2072653312.8252342	16733.013750245795	2072670045.838985	0.00020845914181832033	1095052.638199984	7.461438049348452e-06	0.4774829852704268	2849626556.2712255	7223.372290248982	2849633779.643516	0.00014414813673257654	-1040750.258403218	4.8181572954713184e-06	0.3279638037734516
1147.4999999981603	29887892572.083317	1242802.1885641813	29889135374.271873	2.492690471268995e-05	-552.0635009491606	2.6833491607463815e-06	-8.560403354632587	0.12624042028355492	50960.39692748198	2072645369.09205	16979.055158284493	2072662348.147208	0.0001970881936422144	1118834.8634535377	7.392638792858989e-06	0.45132598916941385	2849615211.998389	7326.885013209656	2849622538.883402	0.00015500667310583725	-1037352.6915116619	4.751945789314355e-06	0.35252626415575866
1187.9999999987374	29887848496.780495	1235470.513547033	29889083967.294044	2.461047898198348e-05	-180.5331932448052	2.650585443531113e-06	-8.615015974440894	0.12460560277017124	50382.12498988604	2072636158.2891443	17229.60111398576	2072653387.8902583	0.00014995243850168195	1122159.27879099	7.2687426761173875e-06	0.34333655012669817	2849603713.919761	7418.298833133187	2849611132.2185946	0.00016968110945468252	-1033408.9371032434	4.688636546002637e-06	0.3857505146420405
1228.4999999993145	29887799208.615147	1227470.102077961	29889026678.717216	2.1913135493826897e-05	-53.679683813247166	2.6339644988930504e-06	-8.664936102236421	0.1109021266699022	50033.62596542535	2072627311.4668384	16811.44202053547	2072644122.9088585	0.00010880339602925046	1124108.0071233963	7.248845789080915e-06	0.24931206344323367	2849591955.1719856	7517.262383587658	2849599472.434369	0.00018687606290304385	-1031885.1386218276	4.626605011329429e-06	0.4247083702808866
1268.9999999998915	29887781895.671127	1188021.1685492396	29888969916.839684	1.9557746802449263e-05	-105.5993912171494	2.608385518814789e-06	-8.723542332268371	0.0989324429875758	49522.9370669654	2072619176.671	16827.060859504156	2072636003.7318594	8.932651635862835e-05	1118464.7727349647	7.17294126956584e-06	0.20467458171130332	2849579952.303919	7629.763669731561	2849587582.067588	0.00020213135305897182	-1029240.1744898797	4.567520833701163e-06	0.45926576082086423
1309.5000000004686	29887821163.3799	1091999.135876745	29888913162.515778	1.807258068483128e-05	-357.1997636408474	2.5758766964056605e-06	-8.77376198083067	0.09141413739499947	48948.68994090991	2072611447.1580691	16827.770128198434	2072628274.9281971	6.426122389137723e-05	1116970.9664620198	7.054118342799948e-06	0.14721803858049293	2849567693.348161	7776.224035563412	2849575469.5721965	0.00019099718438352889	-1026453.2264071867	4.511212119095378e-06	0.4338924861943704
1350.0000000010457	29887792462.334854	1064175.925611496	29888856638.26046	1.7893422054123563e-05	-397.6821230804432	2.5542938979275032e-06	-8.828374600638977	0.09046019958820502	48540.53163926152	2072604512.4573946	16063.214047091082	2072620575.6714416	4.0275801669013226e-05	1123871.1171981327	6.9970973938968695e-06	0.09234072631762373	2849555190.641456	7978.086047535296	2849563168.727504	0.00016443376313638388	-1026333.0190389339	4.456710824763783e-06	0.37351073838917004
1390.5000000016228	29887811119.910934	992774.7919459344	29888803894.702877	1.4540920044037963e-05	-406.1439945028185	2.533328485442169e-06	-8.886581469648561	0.07348214368048199	48109.85623242715	2072597468.5715399	15897.314733096862	2072613365.8862727	3.038927152213741e-05	1118699.6929478338	6.938508085830103e-06	0.06967885584024447	2849542751.794889	8182.008447361644	2849550933.803337	0.0001729472110905261	-1024906.9763426369	4.404169455912589e-06	0.3928237823600937
1431.0000000021998	29887876631.723152	873081.7876122595	29888749713.51076	1.4270398926650198e-05	-325.65191252287127	2.5052090704650484e-06	-8.93560303514377	0.07212264354499277	47606.713873980545	2072591003.6529617	15932.255823062265	2072606935.9087849	2.289960996148778e-05	1128038.5883945157	6.827268041448072e-06	0.05249610804477882	2849530349.285537	8387.075245401822	2849538736.3607817	0.00018415094790849782	-1022247.4407749947	4.3534620924115784e-06	0.4182466765666534
1471.500000002777	29887888797.91749	810494.3301724793	29888699292.247658	1.6012220173105417e-05	180.13931260422697	2.4746364918740168e-06	-8.980730830670927	0.08089038225883383	47053.13457253323	2072587640.476103	15462.811021959875	2072603103.287125	1.8311111311048853e-05	1120368.9054101002	6.700257384492125e-06	0.04200693025080262	2849517921.894556	8607.819569658954	2849526529.714126	0.00018516631721104517	-1020144.5850423011	4.303359517912347e-06	0.42054255266992596
1512.000000003354	29887948325.24557	704385.2146634758	29888652710.460236	1.2785061565455064e-05	-1006.9707331599147	2.4483324048251233e-06	-9.028055111821086	0.06458239627473294	46561.28927344681	2072580446.5238628	15050.082741862629	2072595496.606605	1.4903365065091392e-05	1118892.8210005644	6.606474221419033e-06	0.03419380048538978	2849505470.5388923	8846.674463953357	2849514317.213356	0.00019778285941913804	-1018107.1398170439	4.255431688868055e-06	0.4492082618252959
