2.715746529762289
Time 	 Eb 	 Ea 	 Ep 	 phi_d 	 phi_z 	 KED 	 MLD 	 K 	 E_k 	 Eb_D 	 Ea_D 	 Ep_D 	 phi_d_D 	 phi_z_D 	 KED_D 	 K_D 	 Eb_U 	 Ea_U 	 Ep_U 	 phi_d_U 	 phi_z_U 	 KED_U 	 K_U 
931.4999999968353	0.0	29889570438.98021	29889570438.98021	1.3259355222195383e-05	-5120.618096606578	1.3138164715832527e-06	-8.170626996805112	0.06709605057008247	24994.545493672813	0.0	407458123.0872607	407458123.0872607	3.963633230468585e-05	275602.9297738514	9.319444996544118e-06	0.04012509475270228	0.0	560125251.9587102	560125251.9587102	2.5915249818841742e-05	-298154.5678180035	4.7094688638489335e-06	0.02626866191421397
971.999999996645	0.0	29889523157.45652	29889523157.45652	1.2767663526174048e-05	-4664.27081064317	1.312572922324724e-06	-8.214456869009584	0.06460682203003051	24972.30145066422	0.0	407457283.5655196	407457283.5655196	3.4030134535521894e-05	284795.7120922691	9.395961328166933e-06	0.03447211267198565	0.0	560122887.2526994	560122887.2526994	2.138211152735842e-05	-299592.791554695	4.650065567407058e-06	0.02166920622774025
1012.4999999964547	0.0	29889475263.005898	29889475263.005898	1.205239656330867e-05	-3402.290317812799	1.3108655498672521e-06	-8.26617412140575	0.06097772357615833	24941.13777032951	0.0	407457488.0443146	407457488.0443146	3.1800970196223247e-05	297541.06640867225	9.446012079675516e-06	0.03222511012872527	0.0	560120402.4533927	560120402.4533927	1.9484373901219294e-05	-299694.74969969195	4.592626014192693e-06	0.01974291230112785
1052.9999999968138	0.0	29889434396.77103	29889434396.77103	1.12623984988605e-05	-2105.993493759585	1.3063008896347905e-06	-8.3058107028754	0.05696828329912601	24855.273866981413	0.0	407458442.98255146	407458442.98255146	3.05235106982102e-05	301502.8618837532	9.458126202285296e-06	0.030934156998290118	0.0	560117800.9769001	560117800.9769001	2.504408877691037e-05	-299377.2931146508	4.538293640369462e-06	0.025373351217648648
1093.499999997391	0.0	29889399622.661495	29889399622.661495	1.0582448227056164e-05	-1626.7892696392485	1.2993699008251417e-06	-8.341653354632587	0.053521030335215374	24724.120129845815	0.0	407459728.5579079	407459728.5579079	2.936462190287626e-05	305181.6059226901	9.44613810976381e-06	0.029760298523247738	0.0	560115131.2402861	560115131.2402861	3.495655949513002e-05	-298915.54597588885	4.4876842177195825e-06	0.03541533111001437
1133.999999997968	0.0	29889367629.21484	29889367629.21484	1.0085599334123938e-05	-1289.3665371611528	1.2910840367119415e-06	-8.372503993610223	0.051001875771728204	24567.00650245914	0.0	407460549.8324352	407460549.8324352	2.8184331621095086e-05	301977.47623409063	9.4265917660386e-06	0.02856047751403737	0.0	560112424.4968541	560112424.4968541	-1.3388457651452387e-06	-298063.3496804087	4.44044695536706e-06	-0.0013565544905936703
1174.499999998545	0.0	29889333738.183212	29889333738.183212	9.843123648814919e-06	-1287.1419695585107	1.2831399191655796e-06	-8.412539936102236	0.04977103682231461	24416.371104783753	0.0	407461392.1160724	407461392.1160724	2.645698707757941e-05	303537.34184752975	9.40648559773642e-06	0.02680330118719431	0.0	560109693.2949407	560109693.2949407	-6.597511175643811e-07	-296770.47124346823	4.395929867346301e-06	-0.0006686405958434961
1214.999999999122	0.0	29889299259.875114	29889299259.875114	9.733931827268634e-06	-832.4033869625068	1.2760314096143967e-06	-8.441892971246006	0.049218384349714636	24281.56995669059	0.0	407462506.4627316	407462506.4627316	2.4615715465366057e-05	305008.71455552947	9.381483423609154e-06	0.024930513721394456	0.0	560106941.822586	560106941.822586	-1.1398507554623081e-06	-295224.4257132991	4.353848723688686e-06	-0.0011556163435191107
1255.4999999996992	0.0	29889266754.44214	29889266754.44214	9.562753944367249e-06	-747.4587369555566	1.2689538028239644e-06	-8.473142971246006	0.04835608582167014	24147.129521885254	0.0	407463522.20854753	407463522.20854753	2.3402351316295412e-05	302440.7022804751	9.36173800438085e-06	0.02369527371411404	0.0	560104171.5104849	560104171.5104849	-2.5372295847815207e-06	-293556.0765693213	4.314334960164342e-06	-0.0025734095937909453
1296.0000000002763	0.0	29889233713.834785	29889233713.834785	9.322059166539821e-06	-879.540388550713	1.2628533110329593e-06	-8.50089856230032	0.04714481558045298	24031.127128433767	0.0	407464258.56634307	407464258.56634307	2.1942150409850537e-05	300290.5740756659	9.354169687113533e-06	0.02221170746024382	0.0	560101388.7281944	560101388.7281944	-5.463400471222178e-06	-291809.0863379249	4.277326357665251e-06	-0.005544077348217168
