3.033773358534092
Time 	 Eb 	 Ea 	 Ep 	 phi_d 	 phi_z 	 KED 	 MLD 	 K 	 E_k 	 Eb_D 	 Ea_D 	 Ep_D 	 phi_d_D 	 phi_z_D 	 KED_D 	 K_D 	 Eb_U 	 Ea_U 	 Ep_U 	 phi_d_U 	 phi_z_U 	 KED_U 	 K_U 
944.9999999967719	29736686006.43849	5299563.304789394	29741985569.74329	4.180994942212474e-06	-1091.5271807298532	3.921903127365765e-07	-8.038238817891374	0.02054626957643279	7274.1050960048815	2072866391.0164254	3726.2981198551133	2072870117.3145454	3.917696015100312e-06	372448.2799426292	1.4696957431414435e-06	0.008805648753545	2849596992.377079	8847.759915693663	2849605840.1369953	2.0016090071289012e-06	-370017.3872321169	4.806392535877713e-07	0.004385376969439934
985.4999999965816	29736418373.91638	5560326.7914021015	29741978700.70778	4.193401588201466e-06	-1458.2002755859894	3.949053569751596e-07	-8.051317891373802	0.020561318900738708	7325.274691352306	2072879662.0655928	3708.728052751161	2072883370.7936459	4.565442110212163e-06	367058.80341808195	1.494856576591276e-06	0.01028209696557127	2849582209.2279506	9122.164064384066	2849591331.3920145	1.922079080133867e-06	-369356.0868213107	4.758304146894458e-07	0.0041936929969311025
1025.999999996429	29736208725.65434	5760985.125695795	29741969710.780033	4.171534640576474e-06	-1845.2248227434982	3.9735361714316666e-07	-8.058306709265176	0.020413387888337468	7371.889044461917	2072891803.5601828	3711.2642166409637	2072895514.8244	5.110281462695341e-06	361036.53651419084	1.5179063161275953e-06	0.011536759436524978	2849567434.9210005	9334.471406211145	2849576769.392406	1.8648598303240777e-06	-368519.6576913245	4.7196202740180744e-07	0.004052758464106251
1066.4999999970062	29736052872.740063	5905424.107402027	29741958296.847466	4.173566095746763e-06	-2227.37168381032	3.99737191294432e-07	-8.067791533546325	0.02038609005530765	7417.647281756499	2072902734.4562333	3743.911691199988	2072906478.3679245	6.209965490200535e-06	355126.95016442233	1.539590617120104e-06	0.014051889539948296	2849552694.68862	9481.67102533439	2849562176.359646	1.7998487354152746e-06	-367691.93943089363	4.691474930891899e-07	0.0038975897341299902
1106.9999999975832	29735902130.46062	6042126.944093585	29741944257.40471	4.173025144723484e-06	-2578.8756339409792	4.0212138544469293e-07	-8.083666134185304	0.020359362639072048	7463.668283362424	2072912453.4296682	3806.7266247374937	2072916260.1562932	5.63977665668266e-06	349822.78699459304	1.560267124186161e-06	0.012787684619110331	2849538006.6396756	9569.396778467111	2849547576.036454	1.7484750561502895e-06	-367053.59475138725	4.6717420207321056e-07	0.0037763934793818518
1147.4999999981603	29735784470.21391	6143056.107853264	29741927526.321762	4.179703830017502e-06	-2884.454028035097	4.04416623197411e-07	-8.10413338658147	0.020381162762131203	7508.1698540636135	2072920995.8720913	3895.3346709767357	2072924891.2067616	5.301287626151573e-06	345351.1596242471	1.5801684489045046e-06	0.012036937270874829	2849523386.391287	9601.53686670633	2849532987.9281535	1.6988784378104023e-06	-366813.0276673711	4.652994156645729e-07	0.003665717446381788
1187.9999999987374	29735679507.641685	6228621.397660942	29741908129.039345	4.201232670423153e-06	-3139.291544039827	4.065399412931487e-07	-8.12589856230032	0.020481647183562796	7549.523282943415	2072928412.5453687	4006.7213320499286	2072932419.2667007	4.902760686669031e-06	341969.2466520126	1.5998503412368862e-06	0.011143286298172258	2849508832.4542956	9592.888925703242	2849518425.3432217	1.6473503482305467e-06	-366968.7140985947	4.626657296746112e-07	0.003552537645332159
1228.4999999993145	29735597413.576927	6288719.570965499	29741886133.147896	4.2535343152681944e-06	-3339.890679333841	4.084912002408961e-07	-8.148362619808307	0.020734210650567016	7587.538417005859	2072934815.510857	4124.2361504221335	2072938939.7470071	4.7390552007750455e-06	340041.6566438668	1.6197489663511152e-06	0.010782633322298868	2849494347.38051	9553.597301295958	2849503900.9778113	1.5980635974574486e-06	-366859.705390862	4.5888571593268605e-07	0.003446230504171792
1268.9999999998915	29735502373.392506	6359297.164938063	29741861670.557446	4.334403992194532e-06	-3479.1009845272474	4.1037038013193157e-07	-8.17242412140575	0.02112383471243403	7624.128560149002	2072940377.1169338	4238.542640679516	2072944615.6595743	4.436025052378926e-06	339729.1061117078	1.6399807716192452e-06	0.010102537048845964	2849479930.04677	9493.088624724187	2849489423.135394	1.560257314475817e-06	-366513.9073808908	4.542372370483383e-07	0.003365134448973313
1309.5000000004686	29735415750.767704	6419241.6612868905	29741834992.428978	4.428331557624075e-06	-3555.9907992581566	4.1235790566080507e-07	-8.204273162939296	0.021573839369624436	7662.759241063745	2072945284.2877007	4345.097017491236	2072949629.3847184	4.200896272014277e-06	340832.34788826795	1.660640306585499e-06	0.00957468233144399	2849465580.1528893	9412.14139072364	2849474992.2942796	1.5250419827614712e-06	-366082.05369275116	4.494340233112326e-07	0.003289292155193838
