2.3839424390421993
Time 	 Eb 	 Ea 	 Ep 	 phi_d 	 phi_z 	 KED 	 MLD 	 K 	 E_k 	 Eb_D 	 Ea_D 	 Ep_D 	 phi_d_D 	 phi_z_D 	 KED_D 	 K_D 	 Eb_U 	 Ea_U 	 Ep_U 	 phi_d_U 	 phi_z_U 	 KED_U 	 K_U 
931.4999999968353	0.0	29889733009.940624	29889733009.940624	3.0559832398146834e-06	-699.7637663510214	4.1088948973285777e-07	-7.997603833865814	0.015229352928830795	7676.893286400523	0.0	56518305.9629233	56518305.9629233	6.892356999079339e-06	22732.34292794293	8.622490435966787e-06	0.002765733369178547	0.0	77708857.63674869	77708857.63674869	8.474450954066505e-07	-22206.313995325625	2.4732665328143314e-06	0.001956056990508492
971.999999996645	0.0	29889726657.270386	29889726657.270386	3.1686419181454786e-06	-1049.0877374894758	4.1224173972750495e-07	-8.00369408945687	0.015777956482362777	7701.954077328255	0.0	56518637.53241609	56518637.53241609	7.962449994295569e-06	22206.462799642635	8.738623553687116e-06	0.0032128928406328066	0.0	77708887.05716217	77708887.05716217	8.36555406341231e-07	-22243.23810430192	2.401323527444383e-06	0.0018861308369936473
1012.4999999964547	0.0	29889718305.900726	29889718305.900726	3.252710320395811e-06	-1409.7593671602867	4.137157511132352e-07	-8.018170926517572	0.016182959757378074	7729.746877394809	0.0	56518978.2579366	56518978.2579366	9.845151276506497e-06	21646.18627787281	8.844621398046712e-06	0.004031384181130268	0.0	77708912.88140795	77708912.88140795	8.222451611204701e-07	-22228.37459273007	2.3339436318893967e-06	0.0018178043361012023
1052.9999999968138	0.0	29889707634.510048	29889707634.510048	3.2733801181782186e-06	-1754.643563525451	4.154923745681223e-07	-8.030551118210862	0.0162717544630667	7764.12120981652	0.0	56519298.198716104	56519298.198716104	1.1145715573518192e-05	21120.665491805074	8.980856361968578e-06	0.004586218913706363	0.0	77708934.97805467	77708934.97805467	8.082313627605509e-07	-22182.578225859063	2.271846952434611e-06	0.0017524775494175096
1093.499999997391	0.0	29889694485.87225	29889694485.87225	3.084682705917838e-06	-2054.1434518328983	4.169615503757704e-07	-8.04253194888179	0.015319954122513761	7793.045535371762	0.0	56519596.632570386	56519596.632570386	9.734646536618204e-06	20717.202581060643	9.118324686510025e-06	0.004008143928825484	0.0	77708953.34163946	77708953.34163946	7.985759941844227e-07	-22112.555143655864	2.2149142965543246e-06	0.001699301065304092
1133.999999997968	0.0	29889678857.46561	29889678857.46561	2.856734480607203e-06	-2281.166379144969	4.1804809502391744e-07	-8.054213258785943	0.014174687137891058	7815.310388956915	0.0	56519885.48802151	56519885.48802151	7.901130519413763e-06	20514.670702607757	9.241687149391903e-06	0.0032260470710818055	0.0	77708968.09646787	77708968.09646787	7.894780818908318e-07	-22027.653225921767	2.1626722364121024e-06	0.001653891091858032
1174.499999998545	0.0	29889660967.23118	29889660967.23118	2.76631735023696e-06	-2421.1334796929145	4.183382392294953e-07	-8.075279552715655	0.013712901977729265	7822.053748718043	0.0	56520160.439288884	56520160.439288884	6.762671161417594e-06	20554.050500933918	9.31475916535261e-06	0.0027566353536379036	0.0	77708979.38630316	77708979.38630316	7.800685007679129e-07	-21934.558148883887	2.1143373345306335e-06	0.0016122906334377954
1214.999999999122	0.0	29889641223.79642	29889641223.79642	2.6990630851100405e-06	-2473.995878338447	4.1824912085361033e-07	-8.09844249201278	0.01336641755476718	7821.693982727911	0.0	56520438.0629597	56520438.0629597	5.706473197498562e-06	20832.91007126722	9.356278170710936e-06	0.002352785334552299	0.0	77708987.39777657	77708987.39777657	7.749723410234349e-07	-21837.807404364365	2.068858839108649e-06	0.0015872372483348583
1255.4999999996992	0.0	29889620088.740334	29889620088.740334	2.687719584097509e-06	-2447.1193275214955	4.187441318553648e-07	-8.123801916932907	0.013296928540791819	7832.252006591102	0.0	56520739.407205984	56520739.407205984	5.099375119198153e-06	21327.76029717908	9.399342358272383e-06	0.0021297147871585094	0.0	77708992.32054964	77708992.32054964	7.698577620881935e-07	-21741.78215986656	2.0255793181740533e-06	0.001568935355250653
1296.0000000002763	0.0	29889598057.33744	29889598057.33744	2.6912557287518085e-06	-2354.815502154384	4.1960519572257757e-07	-8.145666932907348	0.013300904353316968	7849.165722395424	0.0	56521049.32366182	56521049.32366182	4.816718777917036e-06	21982.872206851884	9.471770164331698e-06	0.002031424231202078	0.0	77708994.27436593	77708994.27436593	7.681491760942006e-07	-21649.002096338354	1.983995124234355e-06	0.0015619823534108867
1336.5000000008533	0.0	29889575611.319206	29889575611.319206	2.735157696507988e-06	-2215.8174774417193	4.2139668920480066e-07	-8.168530351437699	0.013503966037148768	7884.179644650118	0.0	56521337.77730079	56521337.77730079	4.617718919872705e-06	22644.923289064813	9.580656545753534e-06	0.0019453842855541516	0.0	77708993.3431821	77708993.3431821	7.65349839280498e-07	-21560.281285779252	1.943793162889982e-06	0.001561323331127557
1377.0000000014304	0.0	29889553271.03215	29889553271.03215	2.8228371619472377e-06	-2059.7961825812645	4.230287600193418e-07	-8.20077875399361	0.013922524841560997	7916.426893214343	0.0	56521631.8310643	56521631.8310643	4.449659988647612e-06	23147.78145397697	9.675401316268572e-06	0.0018691613684342727	0.0	77708989.63251463	77708989.63251463	7.595020597082421e-07	-21475.109573285168	1.9049362777212921e-06	0.0015655879924967248
1417.5000000020075	0.0	29889531283.06963	29889531283.06963	2.831854961465451e-06	-1919.475077235313	4.2364942231113816e-07	-8.218949680511182	0.01395284585171893	7929.159770945267	0.0	56521933.46661706	56521933.46661706	4.227043678623665e-06	23555.888635659336	9.720297516006943e-06	0.0017735850397085455	0.0	77708983.30058163	77708983.30058163	7.52712712846871e-07	-21395.76554915984	1.8674092102806388e-06	0.0015769176534347802
1458.0000000025846	0.0	29889509489.911377	29889509489.911377	2.772493480402687e-06	-1789.4060482501109	4.2393771011130434e-07	-8.23871805111821	0.013646376795447215	7935.488412647873	0.0	56522217.565847605	56522217.565847605	4.000013571067571e-06	24039.367205629962	9.762660821696955e-06	0.001679828393850449	0.0	77708974.62780489	77708974.62780489	7.385318995305158e-07	-21317.51285725976	1.8311523754090255e-06	0.0015809192952628576
1498.5000000031616	0.0	29889487842.80226	29889487842.80226	2.7540075567054752e-06	-1647.0665216197763	4.2408651713288676e-07	-8.260083865814696	0.013541582284931871	7939.022177316883	0.0	56522502.03424157	56522502.03424157	3.868528852408327e-06	24516.89304249936	9.799778031113611e-06	0.001629563689765779	0.0	77708964.0307762	77708964.0307762	7.281671204639638e-07	-21210.599318885543	1.7958319148243818e-06	0.0015983490391584996
1539.0000000037387	0.0	29889466620.285645	29889466620.285645	2.931256655600603e-06	-1512.3994494611102	4.2417172294877756e-07	-8.281948881789138	0.014398771138134484	7941.117411900246	0.0	56522814.87924135	56522814.87924135	3.900500680703353e-06	24699.971334998365	9.832525673945776e-06	0.0016534896064349252	0.0	77708952.10365745	77708952.10365745	7.208534774279918e-07	-21142.95525551511	1.7609376950083848e-06	0.0016258701931419674
1579.5000000043158	0.0	29889445954.05956	29889445954.05956	3.079251703562707e-06	-1433.5243236354863	4.241812429451899e-07	-8.30211661341853	0.015111365823443999	7941.660455180855	0.0	56523156.904911496	56523156.904911496	4.021493249230062e-06	24427.1564769951	9.86519212418236e-06	0.0017149818384840033	0.0	77708939.69561973	77708939.69561973	7.150595957818394e-07	-21189.043171323494	1.726075186901196e-06	0.0016539351612139892
1620.0000000048929	0.0	29889425372.713146	29889425372.713146	3.1331177168517793e-06	-1421.9022562889938	4.243543141177516e-07	-8.327376198083067	0.015361462117884228	7945.331208788122	0.0	56523497.88713318	56523497.88713318	4.071869956672092e-06	23960.219200093703	9.902097034577606e-06	0.001742275651223905	0.0	77708927.68392682	77708927.68392682	7.123311878408251e-07	-21212.193229203258	1.690709091508591e-06	0.0016794939241029025
1660.50000000547	0.0	29889404057.98155	29889404057.98155	3.1985503223883817e-06	-1418.274964668683	4.248698942545357e-07	-8.348142971246006	0.015667226086791282	7955.579089381923	0.0	56523813.83144304	56523813.83144304	4.006600670025011e-06	23627.41957983503	9.951623485206941e-06	0.0017151596062636248	0.0	77708916.77543667	77708916.77543667	7.119599494388647e-07	-21117.548990669755	1.6541195546739826e-06	0.0017006571733334751
1701.000000006047	0.0	29889381649.161995	29889381649.161995	3.227760235239863e-06	-1356.1218300689611	4.256275119241731e-07	-8.370207667731629	0.01579507304751539	7970.4375786453165	0.0	56524097.25590848	56524097.25590848	3.927146779219812e-06	23546.199376982655	1.0026238082128809e-05	0.0016919617253464542	0.0	77708907.48859766	77708907.48859766	7.15402309408995e-07	-20953.238259352514	1.615728672138973e-06	0.0017262395485071042
1741.500000006624	0.0	29889358494.268173	29889358494.268173	3.2745466089145887e-06	-1234.074789183992	4.2634016816452664e-07	-8.391873003194888	0.016008698395789327	7984.415888972111	0.0	56524362.31613642	56524362.31613642	3.924154694529071e-06	23655.739919071053	1.0109869860280181e-05	0.001704624412051431	0.0	77708900.14588895	77708900.14588895	7.211591085847933e-07	-20787.29186663563	1.5753018077694063e-06	0.0017636409174732308
