2.9682196310358875
Time 	 Eb 	 Ea 	 Ep 	 phi_d 	 phi_z 	 KED 	 MLD 	 K 	 E_k 	 Eb_D 	 Ea_D 	 Ep_D 	 phi_d_D 	 phi_z_D 	 KED_D 	 K_D 	 Eb_U 	 Ea_U 	 Ep_U 	 phi_d_U 	 phi_z_U 	 KED_U 	 K_U 
809.9999999974062	0.0	29741997170.99264	29741997170.99264	4.049159325864523e-06	-166.80472925152614	3.780124800954133e-07	-8.01697284345048	0.02005387097301249	7010.098988697909	0.0	56517573.734418	56517573.734418	6.1750664930587916e-06	23354.823952060553	6.295196075016188e-06	0.0027466624429980527	0.0	77708696.91107988	77708696.91107988	1.0707867016442813e-06	-22030.845320169294	2.547835477579957e-06	0.002783594736989071
850.4999999972159	0.0	29741995150.414566	29741995150.414566	4.134033794957818e-06	-390.4557475126604	3.8346567354810354e-07	-8.022164536741213	0.02042982056776868	7111.451891201145	0.0	56517905.43919498	56517905.43919498	5.90435835943431e-06	23172.2620090028	6.498298122532767e-06	0.002567154883526496	0.0	77708726.21580963	77708726.21580963	1.0375542286564832e-06	-22005.310128380872	2.4876578575641636e-06	0.002595894067376942
890.9999999970256	0.0	29741991994.612026	29741991994.612026	4.1564026166732174e-06	-661.133249584277	3.8774909847870784e-07	-8.027955271565496	0.020490528064104674	7191.163493770829	0.0	56518250.32973526	56518250.32973526	4.86595715214143e-06	22868.047837839415	6.67125791469261e-06	0.0020666400814113844	0.0	77708753.74342239	77708753.74342239	1.005167565773121e-06	-21999.2476383028	2.424561074739367e-06	0.002425617110544099
931.4999999968353	0.0	29741987445.44737	29741987445.44737	4.176328644660251e-06	-976.9310772465371	3.91184485642024e-07	-8.034245207667732	0.020539470945504353	7255.262306145727	0.0	56518608.299476594	56518608.299476594	4.369389731287007e-06	22443.78971116389	6.827939313422746e-06	0.0018133522474889179	0.0	77708778.44241485	77708778.44241485	9.82474780161076e-07	-22046.605026414283	2.362598433235713e-06	0.00229168876364915
971.999999996645	0.0	29741981209.633698	29741981209.633698	4.19889273161532e-06	-1332.6947346841373	3.940422777301817e-07	-8.045626996805112	0.020602288783590314	7308.952027711371	0.0	56518977.25872235	56518977.25872235	4.030323883910452e-06	21905.73873609429	6.975397711890098e-06	0.0016396119594812599	0.0	77708799.28924322	77708799.28924322	9.592319425882528e-07	-22083.962592892636	2.3051649314553813e-06	0.002163817885590544
1012.4999999964547	0.0	29741972963.161983	29741972963.161983	4.178931172213534e-06	-1715.4077573532713	3.9655235950353014e-07	-8.056010383386582	0.020463235431834932	7356.584728080129	0.0	56519355.290847525	56519355.290847525	3.824976683053154e-06	21288.892749881506	7.116112528101794e-06	0.001528425101081492	0.0	77708815.78849131	77708815.78849131	9.387632440425977e-07	-22069.44999946982	2.2549309838227295e-06	0.002035786619443579
1052.9999999968138	0.0	29741962386.08809	29741962386.08809	4.175744379851805e-06	-2102.2312866854318	3.9894247732306957e-07	-8.065794728434504	0.02040795938275571	7402.358958014074	0.0	56519739.85737218	56519739.85737218	3.722895017376049e-06	20659.635017894012	7.251202216702763e-06	0.0014683457072781634	0.0	77708827.537424	77708827.537424	9.346282230807734e-07	-22023.647901705255	2.2135448319883686e-06	0.0019356240137971574
1093.499999997391	0.0	29741949235.582726	29741949235.582726	4.170554739583058e-06	-2466.3420460866337	4.0132979798380025e-07	-8.07867412140575	0.020352612441388442	7448.36291773729	0.0	56520127.76955584	56520127.76955584	3.690352637493077e-06	20076.645104992986	7.382477408986819e-06	0.0014433750460915251	0.0	77708834.21593606	77708834.21593606	9.317498894857707e-07	-21953.275542010495	2.179676049860883e-06	0.0018393494471290368
1133.999999997968	0.0	29741933401.884735	29741933401.884735	4.172765012885834e-06	-2788.030256003824	4.0366898479178415e-07	-8.094848242811501	0.02034868019955882	7493.652230326047	0.0	56520516.83998717	56520516.83998717	3.6912502658953283e-06	19559.342160032553	7.512226462442147e-06	0.0014337062400145981	0.0	77708836.26144725	77708836.26144725	9.367849306856137e-07	-21867.45343638537	2.148107306030018e-06	0.0017777003261435316
1174.499999998545	0.0	29741914887.69224	29741914887.69224	4.191496649957884e-06	-3059.9214317410506	4.058522170143588e-07	-8.12130591054313	0.020435937393452685	7536.103968380459	0.0	56520904.47358496	56520904.47358496	3.693722502238638e-06	19120.434527824826	7.640076419617828e-06	0.0014397390476493736	0.0	77708834.93747461	77708834.93747461	9.308747498604081e-07	-21772.882604012462	2.113740567232026e-06	0.001731800141898501
1214.999999999122	0.0	29741893747.82989	29741893747.82989	4.230402813970799e-06	-3279.9593780598475	4.078566598779238e-07	-8.141273961661343	0.02062376897991095	7575.1961917696735	0.0	56521286.242906734	56521286.242906734	3.69370180955909e-06	18811.90599928055	7.766211315187135e-06	0.0014558569936872654	0.0	77708830.99659213	77708830.99659213	9.184030603813995e-07	-21674.010496018556	2.0760493320267492e-06	0.0017015730959209449
1255.4999999996992	0.0	29741870085.933495	29741870085.933495	4.30394390787375e-06	-3439.365017932041	4.097410808985369e-07	-8.163338658146964	0.020977465895579608	7611.871022825261	0.0	56521659.9136709	56521659.9136709	3.7131044355297875e-06	18692.21871455568	7.894334075068816e-06	0.0014888792518065257	0.0	77708824.4807864	77708824.4807864	9.094420168601328e-07	-21574.847536510897	2.036825351939239e-06	0.0016925690867127692
1296.0000000002763	0.0	29741844110.972668	29741844110.972668	4.395168441338984e-06	-3537.373580525634	4.116736767586532e-07	-8.191992811501597	0.021413818636816986	7649.472243849408	0.0	56522025.02278007	56522025.02278007	3.7413476298812717e-06	18760.46166503701	8.024858683584679e-06	0.0015270612499588586	0.0	77708815.16740921	77708815.16740921	9.022856245007381e-07	-21478.081622406942	1.9981686379166356e-06	0.001695630477828534
1336.5000000008533	0.0	29741816145.567482	29741816145.567482	4.499281150251073e-06	-3574.60147520655	4.138102958368974e-07	-8.226537539936102	0.021913019332667965	7690.922325029073	0.0	56522379.57798343	56522379.57798343	3.7734749958772275e-06	18968.865581495178	8.156255691497937e-06	0.0015571360142657652	0.0	77708802.7863743	77708802.7863743	8.976034661843719e-07	-21384.04545049328	1.9612606622088597e-06	0.001710640246011793
1377.0000000014304	0.0	29741786541.239555	29741786541.239555	4.620500752446598e-06	-3561.7765472121705	4.1620123032432166e-07	-8.253095047923322	0.022493486294699352	7737.136480362575	0.0	56522720.098307714	56522720.098307714	3.8091972340234995e-06	19301.06588503853	8.288972272753677e-06	0.0015792455272815365	0.0	77708787.25221458	77708787.25221458	8.947288134776745e-07	-21292.25677231771	1.9269489687372413e-06	0.0017314648896592237
1417.5000000020075	0.0	29741755603.403893	29741755603.403893	4.7472263887778105e-06	-3501.2431705467884	4.188105026201148e-07	-8.283746006389777	0.02309701665454388	7787.478682975685	0.0	56523046.392939135	56523046.392939135	3.8520016949127256e-06	19818.077810161245	8.422864297409075e-06	0.0015967253016767346	0.0	77708768.75708744	77708768.75708744	8.880774890123143e-07	-21204.170889616984	1.8943979227013167e-06	0.0017523741614005883
1458.0000000025846	0.0	29741723633.806362	29741723633.806362	4.8889360951145545e-06	-3386.012583207774	4.215986984970372e-07	-8.315595047923322	0.023770939658087756	7841.19277966005	0.0	56523365.72643824	56523365.72643824	3.9029095659273565e-06	20691.304567484516	8.554371627049012e-06	0.0016091279378291827	0.0	77708747.82981789	77708747.82981789	8.770430652456712e-07	-21116.607197270074	1.8630968314150464e-06	0.0017721873304412518
1498.5000000031616	0.0	29741691057.223373	29741691057.223373	5.019675907408811e-06	-3203.2803971291764	4.244871578616364e-07	-8.349241214057509	0.024391789325929895	7896.8727229825445	0.0	56523695.14768005	56523695.14768005	3.969003494568836e-06	22077.184625738635	8.677722950283045e-06	0.0016314564858276688	0.0	77708725.29766196	77708725.29766196	8.666550738020485e-07	-20998.45628325291	1.8323911013724144e-06	0.0017969790807629803
1539.0000000037387	0.0	29741658613.070335	29741658613.070335	5.162558878531045e-06	-2952.4670538303626	4.272049292559508e-07	-8.380990415335463	0.025072479159848112	7949.255432411161	0.0	56524054.645538986	56524054.645538986	4.052759020289025e-06	23483.985187937713	8.781886626898649e-06	0.0016726357907862841	0.0	77708702.19685397	77708702.19685397	8.615821626694481e-07	-20903.16019749891	1.8020855830257055e-06	0.0018297991951112917
1579.5000000043158	0.0	29741627412.72242	29741627412.72242	5.330225901970653e-06	-2692.7301185403435	4.292869132830589e-07	-8.41673322683706	0.025868377200629063	7989.464978392873	0.0	56524438.61854698	56524438.61854698	4.15554523646082e-06	23870.102484098687	8.863147392459945e-06	0.0017296888025186308	0.0	77708679.6940569	77708679.6940569	8.584783153764082e-07	-20920.567121298373	1.7722095844219272e-06	0.001864371245070625
1620.0000000048929	0.0	29741598006.276825	29741598006.276825	5.545198712217132e-06	-2543.539928627273	4.3053895272910457e-07	-8.445287539936102	0.02689611693041332	8013.69427516075	0.0	56524818.90431392	56524818.90431392	4.273819194717352e-06	23599.190880137106	8.934279197801718e-06	0.0017899114272416131	0.0	77708658.75944221	77708658.75944221	8.641392479632354e-07	-20931.103708793722	1.742047843064429e-06	0.0019142572944664408
1660.50000000547	0.0	29741569116.60515	29741569116.60515	5.765051203224962e-06	-2494.7764462191367	4.3146937363185565e-07	-8.471046325878595	0.027941401737182923	8031.595418964739	0.0	56525193.88251683	56525193.88251683	4.407295370968395e-06	23778.58340279491	9.003528135996968e-06	0.0018597971585266428	0.0	77708639.97302195	77708639.97302195	8.759762081336892e-07	-20823.618297803525	1.7104258173277028e-06	0.0019798075280079703
1701.000000006047	0.0	29741539483.1806	29741539483.1806	5.991962408975744e-06	-2410.119109992353	4.32494545810673e-07	-8.500798722044728	0.02901843445716501	8051.011753804862	0.0	56525576.36241089	56525576.36241089	4.565518557345275e-06	23964.671543336364	9.069151910872378e-06	0.0019440749238687932	0.0	77708623.60689038	77708623.60689038	8.931110553564657e-07	-20629.385174982574	1.6759989095249932e-06	0.0020511846456022337
1741.500000006624	0.0	29741509683.7991	29741509683.7991	6.25510824791081e-06	-2299.254826310984	4.3346998383295825e-07	-8.529752396166135	0.030263404635931516	8069.185949355551	0.0	56525952.17854082	56525952.17854082	4.746217463782195e-06	23629.62568055916	9.136510142085976e-06	0.0020331242281160233	0.0	77708609.69577771	77708609.69577771	9.206517974440656e-07	-20414.18732638358	1.6384003559742109e-06	0.0021615515101881385
1782.0000000072012	0.0	29741480006.01129	29741480006.01129	6.5647273639762235e-06	-2229.9367800062546	4.344151817808345e-07	-8.561301916932907	0.031727385672950255	8086.503149876728	0.0	56526303.66900562	56526303.66900562	4.974248568502726e-06	23253.77628648584	9.213118500985898e-06	0.002139978878647799	0.0	77708598.27461061	77708598.27461061	9.522014639337094e-07	-20190.40399287954	1.5994166174063932e-06	0.002304102962821471
1822.5000000077782	0.0	29741437638.590935	29741437638.590935	5.194219880166117e-06	-104.18262430205297	4.335492930030046e-07	-8.602735623003195	0.02505653044641213	8068.661532735846	0.0	56526620.3482126	56526620.3482126	5.17420827076715e-06	23333.990391395142	9.317189888727249e-06	0.0022317919936490327	0.0	77708589.45388225	77708589.45388225	9.571399779776812e-07	-20018.38294466293	1.5546743120629376e-06	0.002418348849603237
1863.0000000083553	0.0	29741406299.420467	29741406299.420467	5.335123573155185e-06	-107.6860317971616	4.3683866376164446e-07	-8.634984025559106	0.02570848891632356	8130.9479811405245	0.0	56526922.50090842	56526922.50090842	5.443738867937008e-06	23466.21226910344	9.41672482617724e-06	0.002354352004168891	0.0	77708583.19079018	77708583.19079018	9.755930256619448e-07	-19680.479208619712	1.5149677265500962e-06	0.0025950376522755098
1903.5000000089324	0.0	29741373825.71226	29741373825.71226	5.4515759974434545e-06	-108.58752649762197	4.390153939332829e-07	-8.670027955271566	0.026242191516615346	8171.542209419913	0.0	56527217.39030298	56527217.39030298	5.746767745962556e-06	23397.608646538127	9.521893698676873e-06	0.0024930816716011053	0.0	77708579.4932721	77708579.4932721	9.86998048366478e-07	-19264.715819817662	1.472439850662483e-06	0.0027483926717186227
1944.0000000095094	0.0	29741340688.287807	29741340688.287807	5.603945557571038e-06	-112.37605173444358	4.4097150627981354e-07	-8.703075079872205	0.02695239088362103	8207.870384608092	0.0	56527488.34822583	56527488.34822583	6.078889004745744e-06	23445.308372520347	9.634914203073508e-06	0.002644084256393427	0.0	77708578.00723405	77708578.00723405	9.97675790284582e-07	-18761.045172419173	1.4236409713550663e-06	0.002873720166236423
1984.5000000100865	0.0	29741307154.75597	29741307154.75597	5.700174978190362e-06	-112.8572222242532	4.427977469155575e-07	-8.73761980830671	0.027389347982305235	8241.82289230001	0.0	56527743.577944234	56527743.577944234	6.461903686129661e-06	23482.617791400633	9.751837545575529e-06	0.002816902130877033	0.0	77708578.25795424	77708578.25795424	1.0053103954724403e-06	-18161.144770813233	1.3768967939571187e-06	0.0029702211037477737
2025.0000000106636	0.0	29741273249.298195	29741273249.298195	5.730309815482089e-06	-115.59304149754723	4.4445625220779874e-07	-8.773362619808307	0.0275177443728302	8272.641482201414	0.0	56527982.023730054	56527982.023730054	6.857407010304304e-06	23538.66460231359	9.869684273068305e-06	0.002994946279316613	0.0	77708579.96730977	77708579.96730977	1.0138359579123293e-06	-17460.121683359546	1.3314809173552753e-06	0.003049532491831523
2065.5000000105774	0.0	29741238997.097202	29741238997.097202	5.815301699936669e-06	-116.6512352592371	4.4615841156755424e-07	-8.80880591054313	0.027915404821875264	8304.474622329482	0.0	56528204.073790826	56528204.073790826	7.2544953934626615e-06	23595.812255994242	9.986830867132442e-06	0.0031719835936941704	0.0	77708582.99102369	77708582.99102369	1.0246044808377093e-06	-16655.705451183247	1.2845528867789823e-06	0.0031011539698786133
2106.0000000096197	0.0	29741204496.62632	29741204496.62632	5.813878273707957e-06	-117.2457252165247	4.47481372690118e-07	-8.845247603833865	0.02789799380777053	8329.207402079051	0.0	56528409.501476325	56528409.501476325	7.687270258914023e-06	23638.559382388426	1.0104052785375426e-05	0.003362742337013753	0.0	77708587.24335106	77708587.24335106	1.0384941999033665e-06	-15713.430349275022	1.2375982001705861e-06	0.003132520724118512
2146.500000008662	0.0	29741169758.087177	29741169758.087177	5.773254017828932e-06	-117.69202030973453	4.4881144826670925e-07	-8.878494408945686	0.02770391073467483	8354.054226316113	0.0	56528598.03712632	56528598.03712632	8.165824049392654e-06	23676.17556441605	1.022339098578309e-05	0.0035725699360240294	0.0	77708592.68689758	77708592.68689758	1.0561229672091082e-06	-14452.740441059781	1.1909114591826407e-06	0.0031828912394575516
2187.0000000077043	0.0	29741134839.38105	29741134839.38105	5.741478011679695e-06	-117.03796215996788	4.499684182520166e-07	-8.917731629392971	0.027555738946200507	8375.560248803427	0.0	56528770.54050191	56528770.54050191	8.580557266814934e-06	23726.447607658214	1.0345382688581657e-05	0.003754701066850199	0.0	77708599.36237809	77708599.36237809	1.07411777409763e-06	-12540.343161640909	1.1431601711504044e-06	0.003224535929813252
2227.5000000067466	0.0	29741099734.94562	29741099734.94562	5.697615649039942e-06	-117.45873230295965	4.5090672555517015e-07	-8.950279552715655	0.027349970973188593	8393.293518992674	0.0	56528927.96681805	56528927.96681805	9.066085341644366e-06	23751.920130886054	1.0459619630698485e-05	0.0039632557228413984	0.0	77708607.0837574	77708607.0837574	1.091958416716186e-06	-9992.192528056763	1.093387115727711e-06	0.003256759220022897
2268.000000005789	0.0	29741064449.03817	29741064449.03817	5.640002501059154e-06	-118.0666627049284	4.518412710539843e-07	-8.989017571884984	0.02708841057199973	8411.309593923641	0.0	56529070.92110127	56529070.92110127	9.535423915224063e-06	23776.05253463678	1.056517199108653e-05	0.004161148577811548	0.0	77708615.31069669	77708615.31069669	1.1119257353052332e-06	-7376.963574820609	1.0445777768109963e-06	0.00331535598872279
2308.5000000048312	0.0	29741028939.855507	29741028939.855507	5.602822071518343e-06	-119.28153641888512	4.529756117857809e-07	-9.02545926517572	0.026927463400007835	8433.07055036231	0.0	56529200.09917335	56529200.09917335	9.98522553392446e-06	23801.51796711573	1.0666427708049847e-05	0.004349744424436148	0.0	77708623.63428235	77708623.63428235	1.1257923643575772e-06	-4488.7429015183625	1.0000918246257856e-06	0.003366204435085557
2349.0000000038735	0.0	29740993233.857685	29740993233.857685	5.485217897564394e-06	-118.93488259498577	4.543182888836972e-07	-9.060702875399361	0.02638048726770691	8458.925450982731	0.0	56529316.70318947	56529316.70318947	1.0470237865149587e-05	23822.45243099195	1.0761912063789991e-05	0.004550742426385914	0.0	77708631.98459673	77708631.98459673	1.0864443855790566e-06	-1048.0348662063516	9.565831758388527e-07	0.0032752317472555825
2389.500000002916	0.0	29740957430.005463	29740957430.005463	5.338175638167664e-06	-116.96145262695393	4.557130254348211e-07	-9.097344249201278	0.025699132601049193	8485.708864657507	0.0	56529422.22740181	56529422.22740181	1.0962451764712619e-05	23845.587710065207	1.0852790246945427e-05	0.004751240724784802	0.0	77708640.35499507	77708640.35499507	1.042807434488709e-06	2213.209690729006	9.090507671236627e-07	0.0031688798732899715
2430.000000001958	0.0	29740921569.644974	29740921569.644974	5.2276050397475946e-06	-114.41358251050873	4.572090484399784e-07	-9.135183706070288	0.0251893739306895	8514.27381419588	0.0	56529517.32624661	56529517.32624661	1.1404239701884448e-05	23866.527597727072	1.094135037686626e-05	0.004926426887899438	0.0	77708648.86043736	77708648.86043736	1.015947768631125e-06	5233.944322220313	8.540917795598595e-07	0.0031357227314106452
2470.5000000010004	0.0	29740885676.453747	29740885676.453747	5.142131741229488e-06	-112.46871488413848	4.588419542445926e-07	-9.171026357827476	0.02480074527171097	8545.276437713965	0.0	56529603.1956226	56529603.1956226	1.1799305830977129e-05	23899.870260107302	1.1029094401071652e-05	0.005079441568286541	0.0	77708657.44491968	77708657.44491968	9.981609334629718e-07	7549.588216529357	7.924115873142384e-07	0.003108836655977686
2511.0000000000427	0.0	29740849740.069183	29740849740.069183	5.0643535105792844e-06	-111.31083398784588	4.608301585123945e-07	-9.208765974440894	0.024446827802967953	8582.876469959076	0.0	56529680.797735624	56529680.797735624	1.2192045752296611e-05	23943.164638655675	1.1118638153830287e-05	0.005230927609932895	0.0	77708665.83499826	77708665.83499826	9.65842758211643e-07	8981.713116251642	7.286680833182509e-07	0.0030457727893923505
2551.499999999085	0.0	29740813777.46797	29740813777.46797	4.992360240971233e-06	-109.74662114091642	4.6321134854580913e-07	-9.246505591054314	0.024117861771976706	8627.899895798599	0.0	56529750.53803691	56529750.53803691	1.2483227272798758e-05	23937.564338656928	1.121107336843712e-05	0.00533933262741304	0.0	77708673.85738271	77708673.85738271	9.2429577575935e-07	9336.296767433476	6.672588056509089e-07	0.002951225711703489
2591.9999999981274	0.0	29740777798.767586	29740777798.767586	4.917295978882958e-06	-107.04632038559294	4.6594678474530354e-07	-9.281749201277956	0.02376606046864329	8679.63811241156	0.0	56529812.71930115	56529812.71930115	1.2772824401800343e-05	23871.178066599412	1.130553092525495e-05	0.005452240967574371	0.0	77708681.52294269	77708681.52294269	8.718489220460265e-07	8559.951869012912	6.116371827028425e-07	0.0028134661977371324
2632.4999999971697	0.0	29740741885.849743	29740741885.849743	4.8408436704767225e-06	-103.81321577384952	4.6905543977950813e-07	-9.314996006389777	0.023409777023050353	8738.501496882876	0.0	56529869.2822834	56529869.2822834	1.3001013776164608e-05	23832.62680639421	1.1401627702355746e-05	0.0055415613418629385	0.0	77708688.88800293	77708688.88800293	8.152981470970202e-07	6762.123860332654	5.640782700910833e-07	0.002644048052666918
2672.999999996212	0.0	29740706157.48616	29740706157.48616	4.8002785951124106e-06	-100.60349045604667	4.726796560328524e-07	-9.355331469648561	0.02322331610945104	8807.124732508115	0.0	56529922.54228724	56529922.54228724	1.3235894109352008e-05	23808.463397098618	1.1498857713255664e-05	0.005636402042665579	0.0	77708695.9423332	77708695.9423332	7.891407619313505e-07	4205.362653864677	5.262711234179598e-07	0.0025702960771510036
2713.4999999952543	0.0	29740670711.959705	29740670711.959705	4.760236110452007e-06	-97.83286076242966	4.770698046528197e-07	-9.387779552715655	0.023039409022132886	8890.1576703879	0.0	56529973.66203676	56529973.66203676	1.3429957099184122e-05	23771.851399488616	1.1600032106757971e-05	0.005715524306191274	0.0	77708702.58777735	77708702.58777735	7.811471478742727e-07	1251.9708249128453	4.988565166290048e-07	0.0025543527385455747
2753.9999999942966	0.0	29740635606.257484	29740635606.257484	4.744639771792182e-06	-94.4201199816443	4.825660958056598e-07	-9.422923322683706	0.02297662705672323	8994.047933734944	0.0	56530022.86916117	56530022.86916117	1.3575689481954216e-05	23714.97833851944	1.1709349186529019e-05	0.005775131024394128	0.0	77708708.77148801	77708708.77148801	7.760352818682044e-07	-1694.611951971	4.80578788476217e-07	0.0025350680929144354
2794.499999993339	0.0	29740600899.55494	29740600899.55494	4.819111340954644e-06	-90.05543680324638	4.894037150893503e-07	-9.462360223642172	0.023342999801159264	9123.273931498294	0.0	56530070.0441238	56530070.0441238	1.3646829099691968e-05	23635.78165926416	1.1829290454873453e-05	0.0058032380477339805	0.0	77708714.57601747	77708714.57601747	7.899530204349024e-07	-4240.7888059664765	4.6815527005417837e-07	0.0025881886702188036
2834.999999992381	0.0	29740566624.79281	29740566624.79281	4.8916822637772305e-06	-84.8867851391091	4.978947178261777e-07	-9.491214057507987	0.023699839579499653	9283.806286655268	0.0	56530114.99194988	56530114.99194988	1.3743807099044633e-05	23535.55477115248	1.1960692869446022e-05	0.005843286031479632	0.0	77708720.24269643	77708720.24269643	8.13615583736564e-07	-6068.0752255601365	4.579215917347381e-07	0.002671193283675248
2875.4999999914235	0.0	29740532785.32173	29740532785.32173	5.002015493245189e-06	-78.800054779082	5.083576309248347e-07	-9.528254792332268	0.024240162934629574	9481.71942947875	0.0	56530157.95781102	56530157.95781102	1.3759557008162144e-05	23424.319401386165	1.2103062201666292e-05	0.005847524623972519	0.0	77708725.90546754	77708725.90546754	8.313646905711067e-07	-7001.414363217147	4.4696299305686003e-07	0.002734483597103606
2915.9999999904658	0.0	29740499350.016384	29740499350.016384	5.197350290487767e-06	-73.01368697502207	5.212063254522136e-07	-9.562799520766774	0.02519350176900268	9724.918326779958	0.0	56530199.531394705	56530199.531394705	1.3796917803850703e-05	23320.799483531315	1.2255582721603474e-05	0.005858296820567066	0.0	77708731.28601944	77708731.28601944	8.358482831004858e-07	-7110.507436058646	4.347088256271732e-07	0.0027529504487149477
2956.499999989508	0.0	29740466265.864983	29740466265.864983	5.398835970754377e-06	-68.59077897177049	5.367877299905465e-07	-9.59574680511182	0.026179774800053592	10020.096154613526	0.0	56530240.11879473	56530240.11879473	1.3765503084982264e-05	23211.732082031063	1.241560288369407e-05	0.005837051286091263	0.0	77708736.27401775	77708736.27401775	8.407466213854747e-07	-7063.806839959487	4.201504239629084e-07	0.002776808140052862
